,Input Name,Input Website,Match,Stage,Score,Source
132,Van der Lans International B.V.,vanderlans.com,vanderlans.com,3 - Presenting (S),100.0,Movements NL
133,Tricorp,tricorp.com,No Match,-,0.0,Movements NL
134,Metaalindustrie Waelbers B.V.,waelbers.com,aelbers.com,1- MQL (Marketing),95.65217391304348,Movements NL
135,WTP World Timber Products B.V.,worldtimberproducts.nl/,No Match,-,0.0,Movements NL
136,S Products B.V.,s-products.com,s-products.com,4 - Offering (S),100.0,Movements NL
137,Konijnenburg B.V.,konijnenburg.nl,No Match,-,0.0,Movements NL
138,Pack-It B.V.,packit.eu,No Match,-,0.0,Movements NL
139,Maryvo International B.V.,maryvo.com,maryvo.com,1- MQL (Marketing),100.0,Movements NL
140,Xindao B.V.,xindao.com/nl-nl,No Match,-,0.0,Movements NL
141,Asian Cuisine Trading B.V.,asiancuisinetrading.com,asiancuisinetrading.com,3 - Presenting (S),100.0,Movements NL
142,AgriFood Trade BV,agrifoodtrade.com,No Match,-,0.0,Movements NL
143,Technotex Industrial Supply B.V.,technotex.nl,technotex.nl,2 - SQL / Sales Outreach,100.0,Movements NL
144,AOKE Europe B.V.,aoke-europe.com,aoke-europe.com,4 - Offering (S),100.0,Movements NL
145,Quantex Group B.V.,quantexgroup.com,quantexgroup.com,4 - Offering (S),100.0,Movements NL
146,Broekhoff Vuurwerk International B.V.,broekhoff.nl,broekhof.nl,3 - Presenting (S),95.65217391304348,Movements NL
147,Vesta Chemicals B.V.,vestachem.com,No Match,-,0.0,Movements NL
148,Difuzed Europe,difuzed.com,difuzed.com,2 - SQL / Sales Outreach,100.0,Movements NL
149,Ten Cate,eu.tencatefabrics.com,No Match,-,0.0,Movements NL
150,REDSUN B.V.,redsun.eu,redsun.eu,3 - Presenting (S),100.0,Movements NL
151,Clou B.V.,clou.nl,clou.nl,3 - Presenting (S),100.0,Movements NL
152,Super Micro Computer B.V.,supermicro.com,supermicro.com,1- MQL (Marketing),100.0,Movements NL
153,AFTC Group,aftc.eu,No Match,-,0.0,Movements NL
154,World Paper B.V.,worldpaper.nl,orldpaper.nl,3 - Presenting (S),96.0,Movements NL
155,Agricultural Production & Handling B.V.,aphgroup.com,aphgroup.com,1- MQL (Marketing),100.0,Movements NL
156,ilShin Europe,ilshinbiobase-europe.com/,ilshinbiobase-europe.com,8 - Loyal (CS),97.95918367346938,Movements NL
157,WOT! Promotions,wot-p.nl,No Match,-,0.0,Movements NL
158,Brasco B.V.,brasco.nl,brasco.nl,8 - Loyal (CS),100.0,Movements NL
159,VaKaGroup,vakagroup.com/,No Match,-,0.0,Movements NL
160,Delinuts B.V.,delinuts.nl,No Match,-,0.0,Movements NL
161,Rotor B.V.,rotor.nl,No Match,-,0.0,Movements NL
162,QUAPI KIDSWEAR BV,quapikidswear.nl,No Match,-,0.0,Movements NL
163,All Sport NV,allsport-group.com,allsport-group.com,7 - Growth (CS),100.0,Movements NL
164,Rollepaal B.V.,rollepaal.com,rollepaal.com,2 - SQL / Sales Outreach,100.0,Movements NL
165,Gibas Automation B.V.,gibas.nl,No Match,-,0.0,Movements NL
166,Naturel West Corp EU B.V.,iidea.com.mx,No Match,-,0.0,Movements NL
167,Kanoshop Holland,kanoshop.nl,kanoshop.nl,1- MQL (Marketing),100.0,Movements NL
168,Bos Polijstmaterialen B.V.,boscleaningfinishing.com,boscleaningfinishing.com,6 - Experience (CS+S),100.0,Movements NL
169,Super B Lithium Power B.V.,super-b.com,No Match,-,0.0,Movements NL
170,Araco International B.V.,araco.nl,araco.nl,4 - Offering (S),100.0,Movements NL
171,Staay-Hispa B.V.,fresh-care.nl,No Match,-,0.0,Movements NL
172,NORKEM B.V,norkem.com,norkem.com,1- MQL (Marketing),100.0,Movements NL
173,Vitility International B.V.,vitility.com,No Match,-,0.0,Movements NL
174,Krosakiharima Europe B.V.,krosaki.co.jp/english,No Match,-,0.0,Movements NL
175,Beautydistrict B.V.,nan,No Match,-,0.0,Movements NL
176,Nedelko,nedelko.nl,nedelko.nl,2 - SQL / Sales Outreach,100.0,Movements NL
177,Dynetics B.V.,dynetics.eu,No Match,-,0.0,Movements NL
178,NEMAG,nemag.com/,No Match,-,0.0,Movements NL
179,Interring B.V.,interring.nl,No Match,-,0.0,Movements NL
180,Sacha Hoofdkantoor,sacha.nl,sacha.nl,3 - Presenting (S),100.0,Movements NL
181,Kemetyl Professional B.V.,kemetyl.com,kemetyl.com,1- MQL (Marketing),100.0,Movements NL
182,Ministry of Beauty B.V.,kappers.nl,No Match,-,0.0,Movements NL
183,Branddeploy,branddeploy.com,No Match,-,0.0,Movements NL
184,Dingemans Elementenbouw B.V.,dingemans.eu,dingemans.eu,2 - SQL / Sales Outreach,100.0,Movements NL
185,E.M.M. International B.V.,emm.com,emm.com,,100.0,Movements NL
186,Heutink Primair Onderwijs B.V.,iacgroup.com,No Match,-,0.0,Movements NL
187,Peacock Garden Supports B.V.,peacock.nl,No Match,-,0.0,Movements NL
188,Euro-Scrap Alliance B.V.,nan,No Match,-,0.0,Movements NL
189,De Ree Holland B.V.,m-g.nl,No Match,-,0.0,Movements NL
190,Barefoot International B.V.,barefoot-int.com,barefoot-int.com,6 - Experience (CS+S),100.0,Movements NL
191,Nieuw Deco B.V.,nieuwdeco.com,No Match,-,0.0,Movements NL
192,Odin Onderwijs B.V.,odin-groep.nl,odin-groep.nl,1- MQL (Marketing),100.0,Movements NL
193,Terberg Benschop B.V.,terbergbenschop.com,No Match,-,0.0,Movements NL
194,ECEM European Chemical Marketing B.V.,ecem.com,ecem.com,1- MQL (Marketing),100.0,Movements NL
195,Sluis Cigar Machinery B.V.,nan,No Match,-,0.0,Movements NL
196,WBE Group,wbe-group.com,No Match,-,0.0,Movements NL
197,Fastenal Europe B.V.,fastenal.com,fastenal.com,3 - Presenting (S),100.0,Movements NL
198,Translas B.V.,translas.com,translas.com,1- MQL (Marketing),100.0,Movements NL
199,Unidex B.V.,unidexholland.com,No Match,-,0.0,Movements NL
200,Hoofdkantoor PTMD collection,ptmd.nl,ptmd.nl,1- MQL (Marketing),100.0,Movements NL
201,Vink Kunststoffen B.V.,vinkkunststoffen.nl,vinkkunststoffen.nl,1- MQL (Marketing),100.0,Movements NL
202,Dampack International B.V.,dampack.nl,No Match,-,0.0,Movements NL
203,Apex Tool Group B.V.,apextoolgroup.com,apextoolgroup.com,4 - Offering (S),100.0,Movements NL
204,Ottevanger Milling Engineers B.V.,ottevanger.com,ottevanger.com,4 - Offering (S),100.0,Movements NL
205,Codi International B.V.,codi.nl,codi.nl,1- MQL (Marketing),100.0,Movements NL
206,Intralox L.L.C.,nan,No Match,-,0.0,Movements NL
207,Colubris Technologies B.V.,colubris-technologies.nl,No Match,-,0.0,Movements NL
208,Olba B.V.,olba.nl,No Match,-,0.0,Movements NL
209,Moving Spirits International B.V.,movingspirits.nl,No Match,-,0.0,Movements NL
210,Mountainhigh Nederland,mountainhigh.nl,mountainhigh.nl,6 - Experience (CS+S),100.0,Movements NL
211,Elopak B.V.,elopak.com,elopak.com,2 - SQL / Sales Outreach,100.0,Movements NL
212,Frozen Impex,frozenimpex.com/,No Match,-,0.0,Movements NL
213,Melkweg Holland B.V.,melkweg.com,No Match,-,0.0,Movements NL
214,T.T.I. Tyre Trading International B.V.,tti.nl,tti.nl,2 - SQL / Sales Outreach,100.0,Movements NL
215,Lab Associates B.V.,labassociates.com,No Match,-,0.0,Movements NL
216,Hosokawa Micron B.V.,hosokawa-micron-bv.com,hosokawa-micron-bv.com,1- MQL (Marketing),100.0,Movements NL
217,HTG BV,bs-htg.com,bs-htg.com,2 - SQL / Sales Outreach,100.0,Movements NL
218,Aweta G&P B.V.,aweta.com,No Match,-,0.0,Movements NL
219,Systemair B.V.,jadico.nl,No Match,-,0.0,Movements NL
220,Syntegon Packaging Solutions B.V.,syntegon.com,syntegon.com,4 - Offering (S),100.0,Movements NL
221,CeTeau B.V.,ceteau.com,No Match,-,0.0,Movements NL
222,CVB Ecologistics B.V.,cvbecologistics.com,cvbecologistics.com,1- MQL (Marketing),100.0,Movements NL
223,Wilhelmsen Ships Service B.V.,wijlhuizen.nl,No Match,-,0.0,Movements NL
224,Colourstock International BV,colourstock.com/,No Match,-,0.0,Movements NL
225,Agriprom Stalmatten B.V.,agriprom.nl,No Match,-,0.0,Movements NL
