,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
119,FashionPower BV,www.fashionpower.eu,fashionpower.eu,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13175333,100.0,Movements NL,Open
120,Sima Europe B.V.,,No Match,-,-,0.0,Movements NL,-
121,Rogon Products B.V.,www.rogon.com,rogon.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/43001059,100.0,Movements NL,Open
122,Agriton Holding B.V.,www.agriton.nl,No Match,-,-,0.0,Movements NL,-
123,SiSTEMA espresso systemen B.V.,www.si-stema.nl,tema.nl,,https://app.prosperworks.com/companies/114103/app?p=db#/organization/15399201,90.0,Movements NL,Abandoned
124,MTR Fashion Flair B.V.,https://www.fashionflair.eu/en-gb/contact,fashionflair.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14888712,90.0,Movements NL,Lost
125,Sakol B.V.,www.sakol.nl,akol.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11059990,93.33333333333333,Movements NL,Open
126,SiccaDania,www.nivobahovex.com,No Match,-,-,0.0,Movements NL,-
127,Peter Dekker Handel B.V.,https://www.pdinl.com/nl/,No Match,-,-,0.0,Movements NL,-
128,Midl B.V.,www.midllogistics.com,No Match,-,-,0.0,Movements NL,-
129,Euro-Tyre B.V.,http://euro-tyre.nl/,No Match,-,-,0.0,Movements NL,-
130,Besgrow Europe B.V.,www.besgrow-europe.com,europe.com,,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27235148,90.0,Movements NL,Abandoned
131,Ay illuminate B.V.,www.ayilluminate.com,te.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49022574,90.0,Movements NL,Abandoned
132,Van der Lans International B.V.,www.vanderlans.com,vanderlans.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55849061,100.0,Movements NL,Open
133,Tricorp,www.tricorp.com,No Match,-,-,0.0,Movements NL,-
134,Metaalindustrie Waelbers B.V.,www.waelbers.com,aelbers.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55921115,95.65217391304348,Movements NL,Open
135,WTP World Timber Products B.V.,https://worldtimberproducts.nl/,No Match,-,-,0.0,Movements NL,-
